id,English,Français
id,en,fr
home,Home,Accueil
settings,Settings,Paramètres
welcome_msg,Welcome to StreamLine!,Bienvenue à StreamLine!
map_view_title,Map View,Vue carte
map_filter,Filters,Filtres
visualize_title,Visualize/Plot Data,Visualiser/tracer les données
dl_data,Download Data,Télécharger les données
chg_lang,Change Language,Changer de langue
